Loadsheet_Number,Total_Pax,Y_Pax,Jump_Pax,Standby_Pax,Male_Pax,Female_Pax,Child_Pax,Infant_Pax,Total_Bags,Total_Bag_Weight_KG,Baggage_Weight_Type,Distribution_Type,Section,Capacity,Distribution
,122,122,0,NULL,71,48,3,0,83,915.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y19
,122,122,0,NULL,71,48,3,0,83,915.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y16
,122,122,0,NULL,71,48,3,0,83,915.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y15
,122,122,0,NULL,71,48,3,0,83,915.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y17
,63,63,0,NULL,41,22,0,0,56,585.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y11
,63,63,0,NULL,41,22,0,0,56,585.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y10
,63,63,0,NULL,41,22,0,0,56,585.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y8
,63,63,0,NULL,41,22,0,0,56,585.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y4
,63,63,0,NULL,41,22,0,0,56,585.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y10
,63,63,0,NULL,41,22,0,0,56,585.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y20
,83,83,0,NULL,55,26,2,0,93,825.0,ACTUAL,CKI_DISTRIBUTION,0A,Y12,Y3
,83,83,0,NULL,55,26,2,0,93,825.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y19
,83,83,0,NULL,55,26,2,0,93,825.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y16
,83,83,0,NULL,55,26,2,0,93,825.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y18
